Date,Open,High,Low,Close,Adj Close,Volume
09-11-2017,1249.5,1286.050049,1241.199951,1252.900024,1155.625854,1417669
10-11-2017,1254.650024,1299.25,1244.300049,1290.650024,1190.444824,1933002
13-11-2017,1295,1315,1269.25,1279.5,1180.160767,1413270
14-11-2017,1286.099976,1289,1279.25,1283.900024,1184.218994,1131348
15-11-2017,1283.900024,1285,1258.550049,1265,1166.786377,1195740
16-11-2017,1270,1287,1246.150024,1276.5,1177.393677,911479
17-11-2017,1282,1297.400024,1271.300049,1278.150024,1178.915527,1134503
20-11-2017,1280,1281.150024,1266.150024,1274.5,1175.549194,707096
21-11-2017,1275,1285,1272,1277.349976,1178.17749,828746
22-11-2017,1275,1277,1263.650024,1270.449951,1171.813354,646368
23-11-2017,1275,1276,1262,1267.5,1169.092407,891839
24-11-2017,1269.400024,1270,1253,1265.949951,1167.662598,971523
27-11-2017,1261,1266.900024,1250.550049,1260.300049,1162.451294,763155
28-11-2017,1263,1272.949951,1262.400024,1267.849976,1169.415039,975006
29-11-2017,1267.849976,1281.099976,1263.5,1276.150024,1177.070557,819468
30-11-2017,1273,1276.150024,1258,1272.449951,1173.657837,2308732
01-12-2017,1272.449951,1278.75,1245.25,1250.5,1153.412109,470360
04-12-2017,1256.650024,1274,1241.199951,1268.599976,1170.106812,833814
05-12-2017,1274,1274,1255,1261,1163.096924,862459
06-12-2017,1258.25,1282.300049,1255.599976,1275.599976,1176.563477,1516859
07-12-2017,1277.199951,1298.849976,1272.050049,1291.949951,1191.643921,1407824
08-12-2017,1296.400024,1331,1291.300049,1326.650024,1223.649902,1267860
11-12-2017,1329,1329,1311.650024,1324.050049,1221.251709,597953
12-12-2017,1319.099976,1324,1308.650024,1314.650024,1212.581787,873443
13-12-2017,1319.400024,1337,1306.199951,1315.050049,1212.950562,917877
14-12-2017,1314,1326.849976,1304.25,1321.599976,1218.992188,834383
15-12-2017,1328.300049,1335,1310.599976,1324.550049,1221.713135,1420357
18-12-2017,1320,1345,1300.949951,1331.75,1228.354004,918171
19-12-2017,1333.099976,1352,1326.5,1349.699951,1244.910156,1227087
20-12-2017,1346.199951,1367.949951,1333.5,1362.650024,1256.855103,1198943
21-12-2017,1365,1365.150024,1345.099976,1348.449951,1243.757324,557871
22-12-2017,1341.300049,1359.5,1341.300049,1356.5,1251.182617,561400
26-12-2017,1350.400024,1353.900024,1340,1348.099976,1243.434814,913529
27-12-2017,1350.800049,1364,1342.650024,1352.449951,1247.446899,569851
28-12-2017,1358,1382.800049,1348.800049,1354.5,1249.337891,2608574
29-12-2017,1359,1374.900024,1350,1367.849976,1261.651245,799006
01-01-2018,1367,1367,1340.050049,1344.5,1240.113892,746852
02-01-2018,1345,1349.800049,1328.550049,1338.599976,1234.672363,695988
03-01-2018,1344.699951,1356.800049,1335,1350.349976,1245.51001,832810
04-01-2018,1350.099976,1356.150024,1341.449951,1352.25,1247.262329,640189
05-01-2018,1351,1362.949951,1348.25,1356.550049,1251.228516,568451
08-01-2018,1348.599976,1371,1348.599976,1368.400024,1262.158691,801796
09-01-2018,1374,1375.900024,1356,1361.300049,1255.609741,708386
10-01-2018,1361.349976,1370,1355,1365.800049,1259.760498,939525
11-01-2018,1357,1382.900024,1357,1378.650024,1271.612671,629248
12-01-2018,1380.800049,1384.400024,1357,1374,1267.323853,872539
15-01-2018,1375.599976,1375.599976,1364,1367.199951,1261.051758,1324592
16-01-2018,1369.300049,1389.5,1363.75,1382,1274.702759,896453
17-01-2018,1389,1391,1366.25,1371.199951,1264.741211,1409691
18-01-2018,1400,1406.900024,1350.599976,1356.949951,1251.597412,2465412
19-01-2018,1370.400024,1372.849976,1350.050049,1362.449951,1256.67041,1491194
22-01-2018,1363,1365,1346.449951,1355.099976,1249.891235,1014403
23-01-2018,1360.699951,1372.349976,1350.050049,1368.349976,1262.112549,1284895
24-01-2018,1368,1372,1335.050049,1365.900024,1259.852417,1819330
25-01-2018,1368.900024,1378,1359.550049,1372.75,1266.171021,2125894
29-01-2018,1370,1400,1367.199951,1397.300049,1288.814819,1406390
30-01-2018,1397.300049,1410,1390.099976,1400.25,1291.535645,1310365
31-01-2018,1400,1400,1362.599976,1369.349976,1263.034912,1491912
01-02-2018,1373,1384.800049,1351,1371.25,1264.787354,1563429
02-02-2018,1352,1377.900024,1352,1372.199951,1265.663452,1699619
05-02-2018,1352.099976,1361.449951,1341.25,1355.75,1250.490845,1585136
06-02-2018,1300,1348.5,1299,1325.349976,1222.450928,1540401
07-02-2018,1322,1330,1307.050049,1312.650024,1210.737061,1561287
08-02-2018,1325.699951,1337.550049,1305.25,1329.550049,1226.324951,1146084
09-02-2018,1319,1340,1311.800049,1333.050049,1229.552979,810004
12-02-2018,1340,1349.900024,1333.150024,1344.449951,1240.067993,1166428
14-02-2018,1349.800049,1353.199951,1332,1349.400024,1244.633789,857401
15-02-2018,1353,1364.449951,1338.75,1358.150024,1252.704346,844856
16-02-2018,1364,1364,1348,1352.099976,1247.124023,1091144
19-02-2018,1359,1359,1328.800049,1335.900024,1232.182007,495950
20-02-2018,1332.150024,1343.349976,1327.849976,1331.800049,1228.400269,688130
21-02-2018,1339,1339,1323,1330.599976,1227.293213,1406451
22-02-2018,1330.099976,1333.800049,1313.25,1326.449951,1223.465454,2173259
23-02-2018,1326.5,1331.599976,1320.199951,1323.150024,1220.421631,896708
26-02-2018,1316.25,1338.400024,1316.25,1333.300049,1229.783691,1109668
27-02-2018,1340,1352.5,1334.099976,1346.349976,1241.820679,1316559
28-02-2018,1338.400024,1338.5,1311,1317.75,1215.44104,1862621
01-03-2018,1320,1329,1314.25,1324.25,1221.436279,961945
05-03-2018,1320,1320.949951,1293.75,1299.75,1198.838501,842790
06-03-2018,1300,1307.900024,1289.199951,1293.199951,1192.796875,738512
07-03-2018,1293.050049,1307.599976,1291.099976,1293.849976,1193.396362,917890
08-03-2018,1300,1305.550049,1284.199951,1293.150024,1192.750854,739272
09-03-2018,1295,1303,1286.099976,1300.75,1199.760986,852176
12-03-2018,1305,1327.949951,1294.050049,1324.199951,1221.390015,874857
13-03-2018,1324.900024,1331.449951,1313.699951,1320.550049,1218.02356,1067772
14-03-2018,1317.400024,1325,1311.150024,1316.900024,1214.656982,760665
15-03-2018,1313.900024,1320,1294.25,1299.949951,1199.023193,536838
16-03-2018,1303,1310.699951,1281.099976,1299.150024,1198.285156,3646692
19-03-2018,1308,1318.199951,1303.25,1309.400024,1207.739136,1244199
20-03-2018,1306,1320.5,1306,1313.25,1211.290283,1249242
21-03-2018,1313.25,1323.099976,1305,1315.599976,1213.457764,1698614
22-03-2018,1312.5,1320.5,1309.050049,1311.849976,1209.999023,950972
23-03-2018,1290,1314,1283.800049,1301.650024,1200.591064,1301609
