Date,Open,High,Low,Close,Adj Close,Volume
09-11-2017,7.425,7.495,7.425,7.49,6.557196,9211400
10-11-2017,7.495,7.515,7.475,7.505,6.570328,7686000
13-11-2017,7.45,7.45,7.375,7.4,6.478405,5838800
14-11-2017,7.405,7.48,7.35,7.455,6.526555,9304200
15-11-2017,7.44,7.48,7.16,7.42,6.495914,4178000
16-11-2017,7.615,7.695,7.605,7.635,6.684138,11900000
17-11-2017,7.575,7.61,7.56,7.595,6.64912,6428800
20-11-2017,7.565,7.575,7.505,7.54,6.600969,4174600
21-11-2017,7.585,7.615,7.545,7.56,6.618479,6191800
22-11-2017,7.565,7.61,7.56,7.6,6.653497,3485000
24-11-2017,7.76,7.86,7.715,7.805,6.832966,13455600
27-11-2017,7.795,7.805,7.745,7.765,6.797947,10130000
28-11-2017,7.72,7.855,7.71,7.78,6.81108,7677000
29-11-2017,7.78,7.785,7.715,7.75,6.784816,5274000
30-11-2017,7.71,7.81,7.685,7.78,6.81108,10090200
01-12-2017,7.64,7.7,7.49,7.53,6.592215,11063000
04-12-2017,7.8,7.88,7.72,7.73,6.767307,14086000
05-12-2017,7.76,7.875,7.755,7.845,6.867983,11253200
06-12-2017,7.79,7.845,7.775,7.78,6.81108,8323600
07-12-2017,7.825,7.865,7.805,7.835,6.85923,5960800
08-12-2017,7.805,7.86,7.805,7.84,6.863607,6103800
11-12-2017,7.86,7.935,7.85,7.93,6.942399,6356400
12-12-2017,7.925,7.98,7.875,7.955,6.964285,10178200
13-12-2017,7.95,8.035,7.94,7.945,6.95553,11613600
14-12-2017,7.965,8,7.945,7.95,6.959907,9271600
15-12-2017,8.01,8.065,8,8.03,7.029945,9597000
18-12-2017,8.035,8.04,7.98,8.02,7.021191,7508200
19-12-2017,7.985,8.025,7.955,7.995,6.999303,5109200
20-12-2017,8.025,8.04,7.99,8,7.003681,6692800
21-12-2017,8.085,8.115,8.025,8.045,7.043078,8728200
22-12-2017,8.155,8.185,8.045,8.05,7.047454,7653400
26-12-2017,8.065,8.135,8.055,8.105,7.095604,4099600
27-12-2017,8.095,8.115,8.075,8.09,7.082472,9322600
28-12-2017,8.12,8.15,8.075,8.08,7.073717,5316200
29-12-2017,8.17,8.185,8.105,8.11,7.09998,7103800
02-01-2018,8.135,8.195,8.115,8.145,7.130623,12298200
03-01-2018,8.12,8.135,8.05,8.075,7.069341,10250800
04-01-2018,8.1,8.1,8.01,8.025,7.025567,16272000
05-01-2018,8.085,8.19,8.075,8.175,7.156886,9813600
08-01-2018,8.19,8.26,8.17,8.24,7.21379,11198200
09-01-2018,8.275,8.38,8.275,8.37,7.327601,12924400
10-01-2018,8.35,8.575,8.35,8.495,7.437034,16472200
11-01-2018,8.57,8.685,8.545,8.635,7.559598,35177800
12-01-2018,8.46,8.55,8.36,8.405,7.358242,17614000
16-01-2018,8.875,9.12,8.845,8.89,7.782841,34275200
17-01-2018,9.05,9.125,9.025,9.06,7.931667,25586000
18-01-2018,9.08,9.095,8.915,8.96,7.844122,17432600
19-01-2018,8.955,9.005,8.95,8.995,7.874763,7706400
22-01-2018,9.035,9.155,8.995,9.145,8.006084,19282400
23-01-2018,9.205,9.29,9.18,9.225,8.07612,12009000
24-01-2018,9.295,9.355,9.22,9.23,8.080495,15833400
