Date,Open,High,Low,Close,Adj Close,Volume
09-11-2017,5.15,5.59,5.15,5.34,4.991739,823100
10-11-2017,5.37,5.49,5.2,5.37,5.019783,388900
13-11-2017,5.41,5.65,5.38,5.56,5.197392,301600
14-11-2017,5.57,5.74,5.43,5.5,5.141304,351200
15-11-2017,5.48,5.5,5.01,5.02,4.692609,387300
16-11-2017,5.06,5.27,5.04,5.23,4.888913,271600
17-11-2017,5.31,5.55,5.21,5.51,5.150652,223500
20-11-2017,5.55,5.62,5.31,5.5,5.141304,209000
21-11-2017,5.51,5.55,5.33,5.4,5.047826,120500
22-11-2017,5.42,5.47,5.18,5.18,4.842174,177400
24-11-2017,5.24,5.39,5.1,5.38,5.02913,72600
27-11-2017,5.35,5.35,5.12,5.22,4.879565,118900
28-11-2017,5.25,5.55,5.23,5.49,5.131957,187000
29-11-2017,5.48,5.81,5.48,5.8,5.42174,213400
30-11-2017,5.8,5.88,5.62,5.7,5.328261,208400
01-12-2017,5.69,5.92,5.44,5.9,5.515218,225100
04-12-2017,5.9,6.27,5.9,6.09,5.692826,375800
05-12-2017,6.07,6.13,5.89,6.05,5.655435,129400
06-12-2017,6.06,6.15,5.93,6.03,5.636739,100900
07-12-2017,6.07,6.14,5.93,6.07,5.674131,147900
08-12-2017,6.07,6.12,5.91,5.94,5.552609,102300
11-12-2017,5.94,5.95,5.63,5.67,5.300218,148400
12-12-2017,5.65,5.65,5.5,5.52,5.16,163300
13-12-2017,5.52,5.63,5.48,5.52,5.16,184100
14-12-2017,5.5,5.57,5.21,5.3,4.954348,276900
15-12-2017,5.3,5.46,5.26,5.34,4.991739,297600
18-12-2017,5.37,5.58,5.33,5.57,5.206739,78200
19-12-2017,5.56,5.57,5.3,5.35,5.001087,90800
20-12-2017,5.39,5.48,5.33,5.41,5.057174,77300
21-12-2017,5.35,5.49,5.35,5.41,5.057174,73200
22-12-2017,5.38,5.45,5.34,5.37,5.019783,47100
26-12-2017,5.32,5.47,5.32,5.42,5.066522,178000
